dataset,dataset_frame_id,relative_path,estimate_relative_path,method,ri_width,ri_height,original_points_count,reconstructed_points_count,k_neighbors,runtime_seconds,metrics_runtime_seconds,reconstructed_to_original_point_to_plane_mean,reconstructed_to_original_point_to_plane_rmse,reconstructed_to_original_point_to_plane_median,reconstructed_to_original_point_to_plane_p95,reconstructed_to_original_point_to_plane_max,original_to_reconstructed_point_to_plane_mean,original_to_reconstructed_point_to_plane_rmse,original_to_reconstructed_point_to_plane_median,original_to_reconstructed_point_to_plane_p95,original_to_reconstructed_point_to_plane_max,point_to_plane_mean,point_to_plane_rmse,point_to_plane_median,point_to_plane_p95,point_to_plane_max
kitti,24471,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000009.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,126880,116347,12,0.9771563530002823,0.9716479070002606,0.015400045091503512,0.02391484343553443,0.010470395263004589,0.04698821288068002,0.28565816698623736,0.018794356968266476,0.0440465692498246,0.011155835480904158,0.05935065540787789,6.035304720735335,0.017170696749928296,0.035855748248847796,0.010819774751963617,0.05298162097770143,6.035304720735335
kitti,25350,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000010.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,126924,126924,12,1.013902188999964,0.9736979700001029,0.00020720039361609536,0.00025265926356942054,0.00018503777274438623,0.0004696418682571758,0.0007592840832475552,0.00020718750326026604,0.00025266929458152526,0.0001850450977640691,0.0004697192413313633,0.0007596808904865725,0.00020719394843818066,0.00025266427912525296,0.00018504076847324015,0.0004696943590877273,0.0007596808904865725
kitti,25350,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000010.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,126924,116421,12,0.9579735289999007,0.9524901389995648,0.01567530828179049,0.0238648601372258,0.010898832991571862,0.04885061124376046,0.24847870701140726,0.019601417611402976,0.05852304014336013,0.011718622450038782,0.059548529255003084,5.069535184934132,0.017723090239717444,0.04537466347523388,0.011314554896786113,0.0547413265567814,5.069535184934132
kitti,25010,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000011.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,126802,126802,12,1.0154353549996813,0.9730028049998509,0.0002076240074637181,0.00025287712915313647,0.00018522912866623974,0.00046879964639894885,0.0007905978114890861,0.00020762158629697355,0.0002528620947906459,0.0001852309295703734,0.00046867561106377585,0.0007919315269850505,0.0002076227968803458,0.0002528696120836247,0.00018522995485316428,0.00046872547786282735,0.0007919315269850505
kitti,25010,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000011.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,126802,117100,12,0.9731553039991923,0.9675673949996053,0.016066907056633304,0.024110598406231826,0.011379199057928762,0.04891977021181266,0.2556317434489941,0.020315984780218392,0.0776810733348748,0.011909644209796,0.05961915116177868,9.20140010586318,0.018275956402296872,0.05844904681305755,0.011673828334066145,0.05457129088146679,9.20140010586318
kitti,25486,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000012.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,126678,126678,12,1.0119906079999055,0.969492913999602,0.0002090894245347451,0.00025446133541306564,0.00018709820921182643,0.00047084533310973615,0.0007821330957515138,0.000209085793064645,0.00025445986106210824,0.00018708436537816464,0.0004708592168037482,0.0007823490154730587,0.00020908760879969506,0.00025446059823865477,0.00018709038160570857,0.0004708585102928057,0.0007823490154730587
kitti,25486,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000012.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,126678,117231,12,0.9594317090004552,0.953717293000409,0.016507661233823537,0.02497318112356731,0.01100231247049305,0.05118069790582564,0.2324708315262546,0.02007102357188777,0.053605504997075996,0.011639932620285814,0.06089685786011761,4.123336103802987,0.01835834986877059,0.042334099298515344,0.011322416064483688,0.05641141979455565,4.123336103802987
kitti,25312,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000013.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,126557,126557,12,1.0092798340001536,0.960902681999869,0.00020919910680408508,0.0002547676179067273,0.0001864716251274688,0.0004719815695036414,0.0007596730267844376,0.00020922366961697612,0.0002547910785573248,0.00018657879803724213,0.0004720738390725128,0.0007600907898773592,0.00020921138821053062,0.00025477934850206467,0.00018653457657774757,0.00047201782362964157,0.0007600907898773592
kitti,25312,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000013.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,126557,115666,12,0.9416810290003923,0.9360310690008191,0.01612564302922501,0.024463155402759628,0.010907560163104986,0.048785447920794686,0.289851402844768,0.019734067801778096,0.04348663979944228,0.011611212309365342,0.06064369858052549,2.677734052491326,0.018010977675150468,0.03569071644995078,0.011259613378471152,0.05462009788610338,2.677734052491326
kitti,25763,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000014.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,126461,126461,12,1.004163719000644,0.961948121000205,0.00021001431829665787,0.0002551094564423171,0.000188173145578548,0.00047120780896292704,0.0007777262028088788,0.00021001160285686883,0.00025508992272732994,0.0001881146106723618,0.00047119184817899154,0.0007776976112506276,0.00021001296057676335,0.0002550996897717926,0.00018814356894811338,0.00047120114451677184,0.0007777262028088788
