dataset,dataset_frame_id,relative_path,estimate_relative_path,method,ri_width,ri_height,original_points_count,reconstructed_points_count,k_neighbors,runtime_seconds,metrics_runtime_seconds,reconstructed_to_original_point_to_plane_mean,reconstructed_to_original_point_to_plane_rmse,reconstructed_to_original_point_to_plane_median,reconstructed_to_original_point_to_plane_p95,reconstructed_to_original_point_to_plane_max,original_to_reconstructed_point_to_plane_mean,original_to_reconstructed_point_to_plane_rmse,original_to_reconstructed_point_to_plane_median,original_to_reconstructed_point_to_plane_p95,original_to_reconstructed_point_to_plane_max,point_to_plane_mean,point_to_plane_rmse,point_to_plane_median,point_to_plane_p95,point_to_plane_max
kitti,26283,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,126956,126956,12,1.0072097960000974,0.9729252710003493,0.00020456600513906882,0.000250019381927553,0.00018094867271384757,0.0004658399343654234,0.0008086692722924643,0.00020454003681626994,0.00024999314391301036,0.00018097399683365085,0.00046590761135790267,0.0008085580852817405,0.00020455302097766937,0.00025000626326448974,0.00018095759375875357,0.000465869569800092,0.0008086692722924643
kitti,26283,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,126956,116913,12,0.9542166909996013,0.9487216109992005,0.015195256250616206,0.023597300679144003,0.010294176148988629,0.04734039346939451,0.27682461007981557,0.018064035319807152,0.039527356842703386,0.01089990452807518,0.05565477902688521,4.002032099046207,0.016688716737632617,0.03286834535248685,0.010604308476599949,0.05164212351754086,4.002032099046207
durlar,140728,DurLAR_20211209/ouster_points/data/0000000000.bin,DurLAR_20211209/ouster_points/data/0000000000.bin,alice_lri,2048,128,148563,148563,12,1.2020464569995966,1.1526972179999575,6.674563927656882e-07,1.392369260155251e-06,1.2361822218862415e-07,2.7158786980816135e-06,3.444408693569415e-05,6.674927544947204e-07,1.392517474751925e-06,1.2361809010281646e-07,2.715852534324109e-06,3.444496622075333e-05,6.674745736302041e-07,1.392443369425622e-06,1.236181561457203e-07,2.7158760067136343e-06,3.444496622075333e-05
durlar,140728,DurLAR_20211209/ouster_points/data/0000000000.bin,DurLAR_20211209/ouster_points/data/0000000000.bin,pbea_native,2048,128,148563,141126,12,1.1531413520006026,1.147279712999989,0.013458553948895375,0.01938233743118507,0.00936573547316358,0.04021979615968054,0.2776878081765687,0.013916448182424,0.026400753243040358,0.009686300330116165,0.04053196390059876,3.8699566905105858,0.013693378678228256,0.023247837973412958,0.009531582509112698,0.04043772741866232,3.8699566905105858
